run_key,tag,evals
main/cec2022_F01_D10/TFO-static/static/0,init,30
main/cec2022_F01_D10/TFO-static/static/0,sweeper_keeper,0
main/cec2022_F01_D10/TFO-static/static/0,zonal_centre_back,24409
main/cec2022_F01_D10/TFO-static/static/0,overlapping_wing_back,21718
main/cec2022_F01_D10/TFO-static/static/0,deep_lying_playmaker,3146
main/cec2022_F01_D10/TFO-static/static/0,box_to_box,21943
main/cec2022_F01_D10/TFO-static/static/0,destroyer,10995
main/cec2022_F01_D10/TFO-static/static/0,virtuoso,19534
main/cec2022_F01_D10/TFO-static/static/0,finisher,3210
main/cec2022_F01_D10/TFO-static/static/0,formation,0
main/cec2022_F01_D10/TFO-static/static/0,rotation,0
main/cec2022_F01_D10/TFO-static/static/0,possession,8286
main/cec2022_F01_D10/TFO-static/static/0,pressing,85199
main/cec2022_F01_D10/TFO-static/static/0,counter_attack,180
main/cec2022_F01_D10/TFO-static/static/0,set_pieces,1350
main/cec2022_F01_D10/TFO-static/static/0,offside,0
main/cec2022_F01_D10/TFO-static/static/0,substitutions,0
main/cec2022_F01_D10/TFO-static/static/0,fatigue,0
main/cec2022_F01_D10/TFO-static/static/0,var_review,0
main/cec2022_F01_D10/TFO-static/static/0,manager,0
main/cec2022_F01_D10/TFO-static/static/0,neutral,0
main/cec2022_F01_D10/TFO/full/0,init,30
main/cec2022_F01_D10/TFO/full/0,sweeper_keeper,0
main/cec2022_F01_D10/TFO/full/0,zonal_centre_back,20865
main/cec2022_F01_D10/TFO/full/0,overlapping_wing_back,17981
main/cec2022_F01_D10/TFO/full/0,deep_lying_playmaker,11378
main/cec2022_F01_D10/TFO/full/0,box_to_box,26225
main/cec2022_F01_D10/TFO/full/0,destroyer,14975
main/cec2022_F01_D10/TFO/full/0,virtuoso,59122
main/cec2022_F01_D10/TFO/full/0,finisher,14725
main/cec2022_F01_D10/TFO/full/0,formation,0
main/cec2022_F01_D10/TFO/full/0,rotation,0
main/cec2022_F01_D10/TFO/full/0,possession,7080
main/cec2022_F01_D10/TFO/full/0,pressing,26287
main/cec2022_F01_D10/TFO/full/0,counter_attack,180
main/cec2022_F01_D10/TFO/full/0,set_pieces,1152
main/cec2022_F01_D10/TFO/full/0,offside,0
main/cec2022_F01_D10/TFO/full/0,substitutions,0
main/cec2022_F01_D10/TFO/full/0,fatigue,0
main/cec2022_F01_D10/TFO/full/0,var_review,0
main/cec2022_F01_D10/TFO/full/0,manager,0
main/cec2022_F01_D10/TFO/full/0,neutral,0
main/cec2022_F01_D10/TFO/full/1,init,30
main/cec2022_F01_D10/TFO/full/1,sweeper_keeper,0
main/cec2022_F01_D10/TFO/full/1,zonal_centre_back,20424
main/cec2022_F01_D10/TFO/full/1,overlapping_wing_back,19452
main/cec2022_F01_D10/TFO/full/1,deep_lying_playmaker,12241
main/cec2022_F01_D10/TFO/full/1,box_to_box,27247
main/cec2022_F01_D10/TFO/full/1,destroyer,14093
main/cec2022_F01_D10/TFO/full/1,virtuoso,63961
main/cec2022_F01_D10/TFO/full/1,finisher,16050
main/cec2022_F01_D10/TFO/full/1,formation,0
main/cec2022_F01_D10/TFO/full/1,rotation,0
main/cec2022_F01_D10/TFO/full/1,possession,6938
main/cec2022_F01_D10/TFO/full/1,pressing,18299
main/cec2022_F01_D10/TFO/full/1,counter_attack,135
main/cec2022_F01_D10/TFO/full/1,set_pieces,1130
main/cec2022_F01_D10/TFO/full/1,offside,0
main/cec2022_F01_D10/TFO/full/1,substitutions,0
main/cec2022_F01_D10/TFO/full/1,fatigue,0
main/cec2022_F01_D10/TFO/full/1,var_review,0
main/cec2022_F01_D10/TFO/full/1,manager,0
main/cec2022_F01_D10/TFO/full/1,neutral,0
main/cec2022_F01_D10/TFO-static/static/1,init,30
main/cec2022_F01_D10/TFO-static/static/1,sweeper_keeper,0
main/cec2022_F01_D10/TFO-static/static/1,zonal_centre_back,24695
main/cec2022_F01_D10/TFO-static/static/1,overlapping_wing_back,21648
main/cec2022_F01_D10/TFO-static/static/1,deep_lying_playmaker,4817
main/cec2022_F01_D10/TFO-static/static/1,box_to_box,22685
main/cec2022_F01_D10/TFO-static/static/1,destroyer,10782
main/cec2022_F01_D10/TFO-static/static/1,virtuoso,16267
main/cec2022_F01_D10/TFO-static/static/1,finisher,2932
main/cec2022_F01_D10/TFO-static/static/1,formation,0
main/cec2022_F01_D10/TFO-static/static/1,rotation,0
main/cec2022_F01_D10/TFO-static/static/1,possession,8393
main/cec2022_F01_D10/TFO-static/static/1,pressing,86255
main/cec2022_F01_D10/TFO-static/static/1,counter_attack,135
main/cec2022_F01_D10/TFO-static/static/1,set_pieces,1361
main/cec2022_F01_D10/TFO-static/static/1,offside,0
main/cec2022_F01_D10/TFO-static/static/1,substitutions,0
main/cec2022_F01_D10/TFO-static/static/1,fatigue,0
main/cec2022_F01_D10/TFO-static/static/1,var_review,0
main/cec2022_F01_D10/TFO-static/static/1,manager,0
main/cec2022_F01_D10/TFO-static/static/1,neutral,0
main/cec2022_F01_D10/TFO/full/2,init,30
main/cec2022_F01_D10/TFO/full/2,sweeper_keeper,0
main/cec2022_F01_D10/TFO/full/2,zonal_centre_back,20464
main/cec2022_F01_D10/TFO/full/2,overlapping_wing_back,18963
main/cec2022_F01_D10/TFO/full/2,deep_lying_playmaker,12034
main/cec2022_F01_D10/TFO/full/2,box_to_box,25944
main/cec2022_F01_D10/TFO/full/2,destroyer,14772
main/cec2022_F01_D10/TFO/full/2,virtuoso,63148
main/cec2022_F01_D10/TFO/full/2,finisher,15475
main/cec2022_F01_D10/TFO/full/2,formation,0
main/cec2022_F01_D10/TFO/full/2,rotation,0
main/cec2022_F01_D10/TFO/full/2,possession,6962
main/cec2022_F01_D10/TFO/full/2,pressing,20898
main/cec2022_F01_D10/TFO/full/2,counter_attack,180
main/cec2022_F01_D10/TFO/full/2,set_pieces,1130
main/cec2022_F01_D10/TFO/full/2,offside,0
main/cec2022_F01_D10/TFO/full/2,substitutions,0
main/cec2022_F01_D10/TFO/full/2,fatigue,0
main/cec2022_F01_D10/TFO/full/2,var_review,0
main/cec2022_F01_D10/TFO/full/2,manager,0
main/cec2022_F01_D10/TFO/full/2,neutral,0
main/cec2022_F01_D10/TFO-static/static/2,init,30
main/cec2022_F01_D10/TFO-static/static/2,sweeper_keeper,0
main/cec2022_F01_D10/TFO-static/static/2,zonal_centre_back,23812
main/cec2022_F01_D10/TFO-static/static/2,overlapping_wing_back,14844
main/cec2022_F01_D10/TFO-static/static/2,deep_lying_playmaker,5761
main/cec2022_F01_D10/TFO-static/static/2,box_to_box,21276
main/cec2022_F01_D10/TFO-static/static/2,destroyer,11941
main/cec2022_F01_D10/TFO-static/static/2,virtuoso,26020
main/cec2022_F01_D10/TFO-static/static/2,finisher,3549
main/cec2022_F01_D10/TFO-static/static/2,formation,0
main/cec2022_F01_D10/TFO-static/static/2,rotation,0
main/cec2022_F01_D10/TFO-static/static/2,possession,8128
main/cec2022_F01_D10/TFO-static/static/2,pressing,83142
main/cec2022_F01_D10/TFO-static/static/2,counter_attack,180
main/cec2022_F01_D10/TFO-static/static/2,set_pieces,1317
main/cec2022_F01_D10/TFO-static/static/2,offside,0
main/cec2022_F01_D10/TFO-static/static/2,substitutions,0
main/cec2022_F01_D10/TFO-static/static/2,fatigue,0
main/cec2022_F01_D10/TFO-static/static/2,var_review,0
main/cec2022_F01_D10/TFO-static/static/2,manager,0
